Time,Time Code,Country Name,Country Code,"Population ages 0-14, total [SP.POP.0014.TO]","Population ages 15-64, total [SP.POP.1564.TO]","Population ages 65 and above, total [SP.POP.65UP.TO]","Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Rural population [SP.RUR.TOTL],Urban population (% of total) [SP.URB.TOTL.IN.ZS]
2007,YR2007,Philippines,PHL,32127802,53834746,3330942,89293490,1.67598120976124,299.471744306939,48629235,45.54
2007,YR2007,Malaysia,MYS,7859794,17521408,1244643,26625845,1.82792424425726,81.0404656825445,8424417,68.36
2008,YR2008,Germany,DEU,11357121,54320350,16432626,82110097,-0.190142844695674,235.522178240542,19234290,76.575
2008,YR2008,France,FRA,11851796,41890669,10632524,64374989,0.558859001300406,117.567648664888,14247473,77.868
2008,YR2008,Spain,ESP,6659039,31515008,7780060,45954106,1.59533049906372,92.1293223736969,10120932,77.976
2008,YR2008,Switzerland,CHE,1184370,5209807,1253498,7647675,1.27061807385776,193.533631946553,2022351,73.556
2008,YR2008,Sweden,SWE,1550955,6032330,1636353,9219637,0.779033290770134,22.4682872739679,1406363,84.746
2008,YR2008,Italy,ITA,8282250,38740063,11804417,58826731,0.662469252941527,199.995685727885,18770433,68.092
2008,YR2008,United Kingdom,GBR,10915828,40834771,10056396,61806995,0.787032622318939,255.474703426611,11893520,80.757
2008,YR2008,Denmark,DNK,1007952,3608864,876805,5493621,0.587547590258978,129.474923403252,742353,86.487
2008,YR2008,Belgium,BEL,1817999,7043222,1848752,10709973,0.789976845480149,353.697919418758,261859,97.555
2008,YR2008,China,CHN,243131326,974377449,107146225,1324655000,0.51238693163744,141.097705219827,708173810,46.539
2008,YR2008,Japan,JPN,17307781,83560003,27195216,128063000,0.0484253945978966,351.338820301783,13955025,89.103
2008,YR2008,India,IND,379470915,758006442,59669549,1197146906,1.46968819897229,402.647293311225,835057853,30.246
2008,YR2008,Indonesia,IDN,69069077,155548637,11541562,236159276,1.35146283598189,130.361661983804,122011690,48.335
2008,YR2008,Singapore,SGP,880063,3533974,425359,4839396,5.32151708302623,6913.42285714286,0,100
2008,YR2008,"Korea, Rep.",KOR,8459347,35724857,4870504,49054708,0.759316681850927,505.562279707307,8960824,81.733
2008,YR2008,Thailand,THA,13293496,47651542,5600722,66545760,0.527560923795048,130.254575348901,39100958,41.242
2008,YR2008,Philippines,PHL,32058479,55191749,3501636,90751864,1.62004279897735,304.362826575444,49500604,45.455
2008,YR2008,Malaysia,MYS,7869321,17946590,1295158,27111069,1.80597340619073,82.5173306954801,8343431,69.225
2009,YR2009,Germany,DEU,11218223,54065699,16618385,81902307,-0.253383410163402,234.939637417171,19025087,76.771
2009,YR2009,France,FRA,11918108,42043006,10745930,64707044,0.514487918627095,118.174078680393,14159842,78.117
2009,YR2009,Spain,ESP,6749459,31707969,7905517,46362946,0.88573598057307,92.9750651746681,10102486,78.21
2009,YR2009,Switzerland,CHE,1181193,5274510,1288128,7743831,1.24948463127384,195.966975402369,2045843,73.581
2009,YR2009,Sweden,SWE,1543161,6084028,1671327,9298515,0.851904412936677,22.6605132329288,1403890,84.902
2009,YR2009,Italy,ITA,8303866,38825162,11966337,59095365,0.455613449577732,200.908971918134,18787007,68.209
2009,YR2009,United Kingdom,GBR,10959634,41103390,10213246,62276270,0.756390859593407,257.414417393461,11813186,81.031
2009,YR2009,Denmark,DNK,1003126,3619855,900114,5523095,0.535079062079429,130.169573415037,737112,86.654
2009,YR2009,Belgium,BEL,1827096,7105422,1863976,10796493,0.804599572619861,356.555250990753,258792,97.603
2009,YR2009,China,CHN,240435876,981227626,109596498,1331260000,0.497381400884935,141.801244134798,693852712,47.88
2009,YR2009,Japan,JPN,17211777,82883639,27951585,128047000,-0.0124946312294096,351.294924554184,12818785,89.989
2009,YR2009,India,IND,380174492,772795808,61299832,1214270132,1.42020343548346,408.406503452521,842861327,30.587
2009,YR2009,Indonesia,IDN,69606800,158053428,11680250,239340478,1.33806566129783,132.117708948592,121742928,49.134
2009,YR2009,Singapore,SGP,886518,3657548,443507,4987573,3.0159499147579,7125.10428571429,0,100
2009,YR2009,"Korea, Rep.",KOR,8218429,36009668,5079738,49307835,0.514682827535803,507.804685890834,8956768,81.835
2009,YR2009,Thailand,THA,13092634,48003894,5785339,66881867,0.503805274032711,130.912460607959,38428314,42.543
2009,YR2009,Philippines,PHL,31920683,56619642,3680554,92220879,1.60575454091899,309.289596538887,50379344,45.371
2009,YR2009,Malaysia,MYS,7865804,18398574,1341005,27605383,1.80686952608076,84.0218627301781,8260911,70.075
2010,YR2010,Germany,DEU,11091726,53886909,16798295,81776930,-0.153198446937304,234.606908225034,18836498,76.966
2010,YR2010,France,FRA,11971374,42120369,10935764,65027507,0.49402976972961,118.7593382972,14066100,78.369
2010,YR2010,Spain,ESP,6806276,31757873,8012748,46576897,0.460408305051304,93.1519309613808,10041047,78.442
2010,YR2010,Switzerland,CHE,1177756,5324410,1322743,7824909,1.0415580576588,198.018751897965,2065228,73.607
2010,YR2010,Sweden,SWE,1548134,6121432,1708560,9378126,0.852524628765313,22.8545255154262,1401467,85.056
2010,YR2010,Italy,ITA,8305209,38821428,12150780,59277417,0.30759122234095,201.527901679472,18774936,68.327
2010,YR2010,United Kingdom,GBR,10998056,41350322,10417986,62766365,0.783888646646516,259.440189310958,11736055,81.302
2010,YR2010,Denmark,DNK,995794,3627218,924671,5547683,0.444197154509531,130.749069054914,732572,86.795
2010,YR2010,Belgium,BEL,1839474,7167469,1888644,10895586,0.913639391631709,359.827807133421,255937,97.651
2010,YR2010,China,CHN,238756473,986577919,112370608,1337705000,0.482959688678361,142.487743405,679206337,49.226
2010,YR2010,Japan,JPN,17103318,82152248,28814434,128070000,0.0179605415195644,351.30983404197,11767072,90.812
2010,YR2010,India,IND,380274337,787765404,62940950,1230980691,1.36679795698174,414.0269175532,850238363,30.93
2010,YR2010,Indonesia,IDN,70253563,160508864,11761696,242524123,1.32140494165303,133.875104467396,121470632,49.914
2010,YR2010,Singapore,SGP,880332,3738501,457899,5076732,1.77183287926401,7231.81196581197,0,100
2010,YR2010,"Korea, Rep.",KOR,7979048,36270291,5304773,49554112,0.49822508440111,509.658665021084,8951455,81.936
2010,YR2010,Thailand,THA,12901887,48321950,5984971,67208808,0.487642631189843,131.552404627219,37733713,43.856
2010,YR2010,Philippines,PHL,31774678,58074016,3877930,93726624,1.61957314710249,314.339551262702,51238471,45.332
2010,YR2010,Malaysia,MYS,7852104,18872495,1387690,28112289,1.81960217613464,85.5647207426571,8177303,70.912
2011,YR2011,Germany,DEU,10802206,52869965,16602812,80274983,-1.8537146287573,230.304633348634,18334806,77.16
2011,YR2011,France,FRA,12030747,42127933,11184094,65342775,0.483651043353276,119.335110317282,13968978,78.622
2011,YR2011,Spain,ESP,6893401,31672167,8177129,46742697,0.355338396471428,93.5078358806114,9968815,78.673
2011,YR2011,Switzerland,CHE,1182885,5375779,1353734,7912398,1.11187894263206,200.23276647434,2086420,73.631
2011,YR2011,Sweden,SWE,1560285,6140890,1748039,9449213,0.755150133665177,23.027764780426,1389318,85.297
2011,YR2011,Italy,ITA,8308871,38715698,12354880,59379449,0.171978290995717,201.874784116407,18737779,68.444
2011,YR2011,United Kingdom,GBR,11120107,41474839,10663972,63258918,0.781677289298684,261.47612119208,11658619,81.57
2011,YR2011,Denmark,DNK,992150,3629625,948797,5570572,0.411737855195019,131.288522271977,726570,86.957
2011,YR2011,Belgium,BEL,1868857,7252789,1926098,11047744,1.38684911331611,364.85284015852,254319,97.698
2011,YR2011,China,CHN,237937178,990704324,115488499,1344130000,0.47915045424996,143.172112343875,665196496,50.511
2011,YR2011,Japan,JPN,17006452,81221183,29605364,127833000,-0.185226486410846,350.654908038568,11416765,91.069
2011,YR2011,India,IND,380287007,802018310,64930712,1247236029,1.31187647952483,419.4942230399,857150489,31.276
2011,YR2011,Indonesia,IDN,70510871,163153759,12042881,245707511,1.30406671416967,135.632358120304,121391796,50.595
2011,YR2011,Singapore,SGP,878529,3816888,488271,5183688,2.08490245606007,7363.19318181818,0,100
2011,YR2011,"Korea, Rep.",KOR,7803471,36588507,5544660,49936638,0.768971758582589,513.592903424869,9027046,81.923
2011,YR2011,Thailand,THA,12833599,48491101,6205430,67530130,0.476955828667069,132.181350192801,37345512,44.698
2011,YR2011,Philippines,PHL,31956232,59307096,4014612,95277940,1.64160145671962,319.542341617198,51905516,45.522
2011,YR2011,Malaysia,MYS,7800918,19374620,1459590,28635128,1.84274041907181,87.1560736569776,8129799,71.609
2012,YR2012,Germany,DEU,10732741,52975852,16717230,80425823,0.187727800567293,230.750625466231,18361215,77.17
2012,YR2012,France,FRA,12080201,42075988,11503600,65659789,0.483982311686857,119.914071046485,13868661,78.878
2012,YR2012,Spain,ESP,6938185,31501544,8333326,46773055,0.0649259625617232,93.5068371284061,9868179,78.902
2012,YR2012,Switzerland,CHE,1188240,5422272,1386349,7996861,1.06181932886789,202.370204474137,2106933,73.653
2012,YR2012,Sweden,SWE,1582469,6146633,1790271,9519374,0.739763272434863,23.3696027888251,1368886,85.62
2012,YR2012,Italy,ITA,8302398,38630702,12606618,59539717,0.269541239520996,202.419653906303,18645458,68.684
2012,YR2012,United Kingdom,GBR,11192041,41563441,10944818,63700300,0.695315842711388,263.30054147894,11569885,81.837
2012,YR2012,Denmark,DNK,982359,3631271,977943,5591572,0.376272242619955,133.164372469636,718964,87.142
2012,YR2012,Belgium,BEL,1883740,7286468,1958038,11128246,0.726031655132031,367.51142668428,251053,97.744
2012,YR2012,China,CHN,238382047,993567856,118745097,1350695000,0.487231117971201,143.87139360204,651507733,51.765
